execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
1;1599726246;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csr();629;;
1;1599726246;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csr();59771;;
2;1599726246;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(0,0);716;;
2;1599726246;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(0,0);73024;;
3;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(0,1);765;;
3;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(0,1);75518;;
4;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(32,0);615;;
4;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(32,0);66704;;
5;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(64,0);612;;
5;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(64,0);65170;;
6;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(128,0);559;;
6;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(128,0);64343;;
7;1599726249;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(10000000,0);557;;
7;1599726250;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(10000000,0);64539;;
8;1599726252;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(10000000,1);623;;
8;1599726252;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(10000000,1);65099;;
9;1599726254;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;mallocAL(1);1309;;
9;1599726254;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;mallocAL(1);77572;;
10;1599726255;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;mallocAL(0);1203;;
10;1599726255;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;mallocAL(0);75879;;
11;1599726255;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;vectorAL(0);1258;;
11;1599726255;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);77927;;
12;1599726257;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;vectorAL(1);1267;;
12;1599726257;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(1);80458;;
13;1599726259;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csr();2276;;
13;1599726259;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csr();344348;;
14;1599726261;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(0,0);2541;;
14;1599726261;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(0,0);372147;;
15;1599726272;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(0,1);3222;;
15;1599726272;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(0,1);436890;;
16;1599726274;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(32,0);2514;;
16;1599726274;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(32,0);360302;;
17;1599726276;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(64,0);2525;;
17;1599726276;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(64,0);358795;;
18;1599726278;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(128,0);2524;;
18;1599726278;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(128,0);352885;;
19;1599726280;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(10000000,0);2526;;
19;1599726280;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(10000000,0);345409;;
20;1599726290;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(10000000,1);3303;;
20;1599726291;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(10000000,1);436682;;
21;1599726300;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;mallocAL(1);7399;;
21;1599726301;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;mallocAL(1);442915;;
22;1599726303;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;mallocAL(0);6015;;
22;1599726303;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;mallocAL(0);378454;;
23;1599726305;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;vectorAL(0);6705;;
23;1599726305;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);368531;;
24;1599726315;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;vectorAL(1);7922;;
24;1599726316;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(1);458869;;
25;1599726317;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csr();280;;
25;1599726319;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2600249;;
26;1599726328;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(0,0);339;;
26;1599726331;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(0,0);3155331;;
27;1599726415;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(0,1);397;;
27;1599726419;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(0,1);3682071;;
28;1599726423;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(32,0);312;;
28;1599726426;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(32,0);2593220;;
